,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,0,11,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,6,0
1,0,0,12,0,0,0,0,14,0,0,0,0,0,0,3,0,0,0,0,0,0
2,21,0,0,0,0,0,0,22,0,0,0,0,0,0,8,0,0,0,0,0,0
3,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,10,0,0,0,0,0,13,0,0,0,0,0,0,0,0,9,0,0,0,0
5,0,0,7,0,0,0,19,0,0,0,0,0,0,20,0,0,0,0,0,0,0
6,0,0,15,0,0,4,0,0,0,0,0,0,0,0,17,0,0,23,0,16,0
7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,16,21,0
8,0,18,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0
9,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0
10,10,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,20,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,22,0,0
12,0,11,0,0,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
13,0,14,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,23,0,17
14,0,0,11,0,0,0,0,0,0,0,0,0,0,22,0,0,21,0,0,0,10
15,0,0,23,15,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
16,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,13,0,0,0,0,0
17,0,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
19,0,5,0,0,0,0,19,0,0,0,0,0,0,0,3,0,0,0,0,0,0
20,8,0,0,0,0,0,0,0,2,0,0,0,0,0,17,0,12,0,0,16,0
21,0,0,16,0,0,0,0,0,0,0,0,9,0,0,0,0,0,11,0,0,22
22,10,0,0,0,0,17,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
23,0,0,14,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
24,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,21,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,13,0,0,0
26,0,20,0,0,0,0,0,18,0,0,0,19,0,0,0,0,0,0,0,0,0
