,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,12,0,0,10,0,0,11
1,0,5,0,0,0,2,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,19,0,0,0,0,3,0,0,0,0,0,0,0,0
3,17,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
4,0,23,0,0,0,0,0,0,13,0,0,0,0,0,0,0,15,0,0,0,0
5,0,0,9,0,0,0,0,0,4,0,0,0,0,0,16,0,0,0,0,0,0
6,0,0,6,0,0,0,14,0,0,0,0,0,0,0,8,0,7,0,0,21,0
7,7,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,8,0,5,0
8,0,10,0,0,0,0,12,0,0,0,0,9,0,0,0,0,0,0,0,0,0
9,0,14,0,0,0,0,0,0,11,0,0,0,0,0,0,19,0,0,0,0,0
10,0,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
12,0,0,18,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
13,22,0,0,0,0,0,0,0,21,0,0,6,0,0,0,0,0,0,17,23,0
14,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,17,0
15,0,0,2,0,0,0,0,23,0,0,0,0,18,0,0,0,0,0,0,0,0
16,0,9,0,0,0,20,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
17,22,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,14,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
19,0,0,7,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0
20,0,0,10,0,0,0,0,0,0,19,0,0,3,0,0,0,4,0,0,21,0
21,9,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,10,0,15,0
22,0,4,0,0,0,0,0,0,0,14,0,12,0,0,0,0,0,0,0,0,0
23,23,0,0,0,0,0,0,19,0,0,0,3,0,0,0,0,0,0,0,0,0
24,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
26,2,0,0,0,0,0,20,0,0,0,0,0,0,0,0,13,0,0,0,0,0
27,0,0,5,0,0,0,18,0,0,0,0,0,8,0,0,0,17,0,0,7,0
28,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,18,0,0,0,16
29,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
30,0,9,0,0,0,0,22,0,0,0,0,0,0,0,0,4,0,0,0,0,0
31,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,23,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
33,11,0,0,14,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
34,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,15,0,0,21,0,20
35,0,0,18,0,0,0,0,0,0,0,0,0,0,0,5,0,21,0,0,0,13
36,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0
37,11,0,0,0,16,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
38,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
40,0,0,14,0,0,17,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
41,0,0,19,0,0,23,0,0,0,0,0,0,0,22,0,0,0,0,6,12,0
42,0,20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,3,0
43,22,0,0,0,14,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
44,8,0,0,0,16,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
45,0,21,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
46,18,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
47,11,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
48,0,17,0,0,0,6,0,0,0,0,0,19,0,0,0,0,4,0,0,0,23
49,0,0,18,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,9,0,5
50,0,12,0,0,0,0,0,0,0,8,0,0,20,0,0,0,0,0,0,0,0
51,0,17,0,23,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
52,0,0,16,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
54,0,0,15,0,0,0,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0
55,3,0,0,0,0,0,0,7,0,0,0,0,0,0,22,0,2,0,0,0,11
56,19,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,15,0,4
