,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0,4,0,0,0,30,0,0,0,0,0,0,0,2,0,0
1,0,22,0,0,26,0,0,0,0,0,0,0,0,0,0,21
2,0,28,0,10,0,0,0,0,0,0,0,0,25,0,0,0
3,0,0,17,0,0,6,0,0,0,0,0,0,15,0,0,0
4,0,13,0,0,0,33,0,0,0,0,0,0,0,0,0,19
5,14,0,0,0,0,0,0,0,16,0,0,20,0,0,0,0
6,18,0,0,0,0,0,0,0,0,12,0,0,29,0,0,0
7,5,0,0,0,0,0,0,24,0,0,0,0,0,3,0,0
8,27,0,0,0,0,23,0,0,0,0,0,8,0,0,0,0
9,0,11,0,9,0,0,0,0,0,0,0,0,7,0,0,0
10,0,32,0,0,0,0,0,0,0,0,31,1,0,0,0,0
11,0,0,29,0,2,0,0,0,0,0,0,0,0,0,1,0
12,0,16,0,0,0,30,0,0,0,0,0,0,0,0,18,0
13,0,7,0,0,0,0,5,0,0,0,0,0,4,0,0,0
14,0,0,21,0,8,0,0,0,0,0,0,25,0,0,0,0
15,6,0,0,0,0,12,0,0,0,0,0,0,0,0,17,0
16,0,0,11,24,0,0,0,0,0,0,0,20,0,0,0,0
17,0,0,10,0,0,26,0,0,0,0,0,0,23,0,0,0
18,0,0,32,0,0,0,27,0,0,0,0,13,0,0,0,0
19,0,0,31,0,0,0,0,0,15,0,0,0,0,0,3,0
20,22,0,0,0,9,0,0,0,0,0,0,0,0,0,0,28
21,33,0,0,0,14,0,0,0,0,0,0,0,0,0,19,0
22,13,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0
23,0,0,33,6,0,0,0,0,0,0,0,0,0,32,0,0
24,0,0,28,0,0,0,0,0,1,0,0,0,0,11,0,0
25,5,0,0,10,0,0,0,0,0,0,0,0,24,0,0,0
26,0,17,0,30,0,0,0,0,0,0,0,0,0,0,0,22
27,0,21,0,0,0,0,0,0,0,0,12,0,0,0,23,0
28,29,0,0,0,0,19,0,0,0,0,0,0,0,0,0,18
29,0,0,8,0,14,0,0,0,0,0,0,0,0,0,26,0
30,0,0,7,0,25,0,0,0,0,0,0,0,0,20,0,0
31,0,0,31,0,0,0,0,0,0,15,0,0,27,0,0,0
32,2,0,0,4,0,0,0,0,0,0,0,0,0,0,16,0
33,3,0,0,0,0,0,0,0,30,0,0,0,19,0,0,0
34,0,0,23,0,0,0,0,0,0,0,29,0,0,0,0,12
35,0,6,0,0,0,0,0,32,0,0,0,0,0,9,0,0
36,26,0,0,22,0,0,0,0,0,0,0,0,17,0,0,0
37,0,0,5,0,0,0,14,0,0,0,0,0,0,0,28,0
38,0,0,2,0,0,0,27,0,0,0,0,0,0,24,0,0
39,0,0,10,0,0,33,0,0,0,0,0,0,0,0,21,0
40,0,15,0,0,0,0,0,0,0,0,7,0,8,0,0,0
41,0,0,25,0,0,0,0,31,0,0,0,0,18,0,0,0
42,20,0,0,0,0,0,0,0,0,16,0,0,0,0,0,11
43,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13
44,0,15,0,0,0,22,0,0,0,0,0,0,0,0,0,6
45,0,0,18,9,0,0,0,0,0,0,0,0,0,23,0,0
46,0,14,0,0,0,24,0,0,0,0,0,0,0,0,0,13
47,0,4,0,0,0,10,0,0,0,0,0,0,0,31,0,0
48,5,0,0,0,20,0,0,0,0,0,0,30,0,0,0,0
49,0,16,0,0,0,0,0,0,21,0,0,0,0,0,32,0
50,0,0,11,0,0,0,0,0,0,19,0,12,0,0,0,0
51,0,0,7,0,0,28,0,0,0,0,0,0,17,0,0,0
52,2,0,0,0,29,0,0,0,0,0,0,0,0,3,0,0
53,8,0,0,26,0,0,0,0,0,0,0,0,0,0,1,0
54,0,25,0,0,0,0,0,0,0,0,27,0,0,33,0,0
55,0,30,0,0,0,10,0,0,0,0,0,0,0,0,12,0
56,0,0,5,0,0,0,0,0,33,0,0,0,0,0,0,11
57,0,0,13,0,0,0,0,0,0,0,14,0,18,0,0,0
58,25,0,0,0,15,0,0,0,0,0,0,0,28,0,0,0
59,0,0,19,0,0,0,0,0,0,0,7,0,0,0,0,6
60,0,0,22,0,0,0,0,0,1,0,0,0,0,21,0,0
61,24,0,0,0,20,0,0,0,0,0,0,0,0,0,2,0
62,32,0,0,0,9,0,0,0,0,0,0,26,0,0,0,0
63,0,0,31,0,0,27,0,0,0,0,0,0,17,0,0,0
64,3,0,0,29,0,0,0,0,0,0,0,4,0,0,0,0
65,0,0,16,0,0,0,0,0,0,0,23,0,0,0,0,8
66,0,11,0,0,0,19,0,0,0,0,0,0,0,1,0,0
67,27,0,0,0,0,0,0,0,0,0,9,0,32,0,0,0
68,0,0,18,0,0,0,0,10,0,0,0,0,0,0,12,0
69,0,30,0,0,0,5,0,0,0,0,0,0,17,0,0,0
70,0,0,15,0,0,0,4,0,0,0,0,0,0,0,0,16
71,0,0,23,0,0,24,0,0,0,0,0,0,0,0,0,21
72,0,20,0,0,26,0,0,0,0,0,0,0,31,0,0,0
73,33,0,0,0,0,8,0,0,0,0,0,0,0,0,0,13
74,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,14
75,0,0,6,0,0,0,0,0,0,0,29,0,0,0,0,2
76,0,28,0,0,0,0,25,0,0,0,0,0,22,0,0,0
77,17,0,0,0,0,0,0,0,0,0,18,0,0,11,0,0
78,0,0,22,0,0,0,0,0,26,0,0,30,0,0,0,0
79,0,31,0,0,0,0,0,0,0,23,0,0,0,0,28,0
80,0,0,3,0,0,0,8,0,0,0,0,14,0,0,0,0
81,0,4,0,0,0,0,0,0,0,19,0,0,0,0,1,0
82,13,0,0,0,0,0,0,0,0,0,15,0,0,16,0,0
83,0,27,0,0,29,0,0,0,0,0,0,0,0,0,33,0
84,20,0,0,0,0,0,0,0,21,0,0,0,0,0,0,5
85,0,2,0,0,0,0,25,0,0,0,0,0,0,32,0,0
86,0,0,10,0,0,0,0,6,0,0,0,0,24,0,0,0
87,0,0,9,0,0,0,12,0,0,0,0,0,0,0,7,0
88,0,26,0,0,0,0,0,0,0,20,0,8,0,0,0,0
89,0,6,0,0,0,0,0,0,0,0,31,0,0,0,0,18
90,19,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0
91,0,0,24,0,28,0,0,0,0,0,0,0,0,16,0,0
92,21,0,0,0,0,25,0,0,0,0,0,0,0,1,0,0
93,0,17,0,0,32,0,0,0,0,0,0,0,0,9,0,0
94,33,0,0,0,0,0,13,0,0,0,0,27,0,0,0,0
95,0,0,30,0,0,0,0,0,23,0,0,0,0,0,0,22
96,0,4,0,0,0,0,0,0,0,15,0,0,5,0,0,0
97,0,0,10,0,0,12,0,0,0,0,0,0,0,14,0,0
98,0,29,0,0,0,0,0,0,2,0,0,11,0,0,0,0
99,7,0,0,0,0,31,0,0,0,0,0,0,0,22,0,0
100,23,0,0,0,0,0,15,0,0,0,0,9,0,0,0,0
101,0,18,0,0,0,0,0,0,0,4,0,0,26,0,0,0
102,8,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0
103,0,0,21,0,0,0,0,0,0,0,10,0,0,0,19,0
